task,reward/mean,reward/std,success/mean,success/std
BLSH,1.9298245614035088,1.178068169304655,0.14035087719298245,0.3504383220252312
BTLH,1.719298245614035,0.9956043743251828,0.07017543859649122,0.2577130964857056
KTLH,1.8421052631578947,1.013999747890405,0.12280701754385964,0.33113308926626095
KTSH,1.8596491228070176,0.9342414128820556,0.07017543859649122,0.2577130964857056
MBLH,1.5789473684210527,0.7779866052154989,0.03508771929824561,0.18563715383027588
MKBL,2.280701754385965,1.1300187413887102,0.12280701754385964,0.33113308926626095
MKBT,2.192982456140351,0.9149277194563371,0.08771929824561403,0.28540083056153326
MKTS,1.9298245614035088,1.1316809419557992,0.10526315789473684,0.3096201893516238
MTLS,1.4035087719298245,0.842183580318088,0.05263157894736842,0.2252817784447915
MTSH,1.631578947368421,0.9567724566659443,0.05263157894736842,0.2252817784447915
